"Label (Grouping)","Alameda County, California!!Number!!Estimate","Alameda County, California!!Percent Distribution!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Butte County, California!!Number!!Estimate","Butte County, California!!Percent Distribution!!Estimate","Butte County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Number!!Estimate","Contra Costa County, California!!Percent Distribution!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","El Dorado County, California!!Number!!Estimate","El Dorado County, California!!Percent Distribution!!Estimate","El Dorado County, California!!Median income (dollars)!!Estimate","Fresno County, California!!Number!!Estimate","Fresno County, California!!Percent Distribution!!Estimate","Fresno County, California!!Median income (dollars)!!Estimate","Humboldt County, California!!Number!!Estimate","Humboldt County, California!!Percent Distribution!!Estimate","Humboldt County, California!!Median income (dollars)!!Estimate","Imperial County, California!!Number!!Estimate","Imperial County, California!!Percent Distribution!!Estimate","Imperial County, California!!Median income (dollars)!!Estimate","Kern County, California!!Number!!Estimate","Kern County, California!!Percent Distribution!!Estimate","Kern County, California!!Median income (dollars)!!Estimate","Kings County, California!!Number!!Estimate","Kings County, California!!Percent Distribution!!Estimate","Kings County, California!!Median income (dollars)!!Estimate","Lake County, California!!Number!!Estimate","Lake County, California!!Percent Distribution!!Estimate","Lake County, California!!Median income (dollars)!!Estimate","Los Angeles County, California!!Number!!Estimate","Los Angeles County, California!!Percent Distribution!!Estimate","Los Angeles County, California!!Median income (dollars)!!Estimate","Madera County, California!!Number!!Estimate","Madera County, California!!Percent Distribution!!Estimate","Madera County, California!!Median income (dollars)!!Estimate","Marin County, California!!Number!!Estimate","Marin County, California!!Percent Distribution!!Estimate","Marin County, California!!Median income (dollars)!!Estimate","Mendocino County, California!!Number!!Estimate","Mendocino County, California!!Percent Distribution!!Estimate","Mendocino County, California!!Median income (dollars)!!Estimate","Merced County, California!!Number!!Estimate","Merced County, California!!Percent Distribution!!Estimate","Merced County, California!!Median income (dollars)!!Estimate","Monterey County, California!!Number!!Estimate","Monterey County, California!!Percent Distribution!!Estimate","Monterey County, California!!Median income (dollars)!!Estimate","Napa County, California!!Number!!Estimate","Napa County, California!!Percent Distribution!!Estimate","Napa County, California!!Median income (dollars)!!Estimate","Nevada County, California!!Number!!Estimate","Nevada County, California!!Percent Distribution!!Estimate","Nevada County, California!!Median income (dollars)!!Estimate","Orange County, California!!Number!!Estimate","Orange County, California!!Percent Distribution!!Estimate","Orange County, California!!Median income (dollars)!!Estimate","Placer County, California!!Number!!Estimate","Placer County, California!!Percent Distribution!!Estimate","Placer County, California!!Median income (dollars)!!Estimate","Riverside County, California!!Number!!Estimate","Riverside County, California!!Percent Distribution!!Estimate","Riverside County, California!!Median income (dollars)!!Estimate","Sacramento County, California!!Number!!Estimate","Sacramento County, California!!Percent Distribution!!Estimate","Sacramento County, California!!Median income (dollars)!!Estimate","San Benito County, California!!Number!!Estimate","San Benito County, California!!Percent Distribution!!Estimate","San Benito County, California!!Median income (dollars)!!Estimate","San Bernardino County, California!!Number!!Estimate","San Bernardino County, California!!Percent Distribution!!Estimate","San Bernardino County, California!!Median income (dollars)!!Estimate","San Diego County, California!!Number!!Estimate","San Diego County, California!!Percent Distribution!!Estimate","San Diego County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Number!!Estimate","San Francisco County, California!!Percent Distribution!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Joaquin County, California!!Number!!Estimate","San Joaquin County, California!!Percent Distribution!!Estimate","San Joaquin County, California!!Median income (dollars)!!Estimate","San Luis Obispo County, California!!Number!!Estimate","San Luis Obispo County, California!!Percent Distribution!!Estimate","San Luis Obispo County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Number!!Estimate","San Mateo County, California!!Percent Distribution!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Barbara County, California!!Number!!Estimate","Santa Barbara County, California!!Percent Distribution!!Estimate","Santa Barbara County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Number!!Estimate","Santa Clara County, California!!Percent Distribution!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Santa Cruz County, California!!Number!!Estimate","Santa Cruz County, California!!Percent Distribution!!Estimate","Santa Cruz County, California!!Median income (dollars)!!Estimate","Shasta County, California!!Number!!Estimate","Shasta County, California!!Percent Distribution!!Estimate","Shasta County, California!!Median income (dollars)!!Estimate","Solano County, California!!Number!!Estimate","Solano County, California!!Percent Distribution!!Estimate","Solano County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Number!!Estimate","Sonoma County, California!!Percent Distribution!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate","Stanislaus County, California!!Number!!Estimate","Stanislaus County, California!!Percent Distribution!!Estimate","Stanislaus County, California!!Median income (dollars)!!Estimate","Sutter County, California!!Number!!Estimate","Sutter County, California!!Percent Distribution!!Estimate","Sutter County, California!!Median income (dollars)!!Estimate","Tehama County, California!!Number!!Estimate","Tehama County, California!!Percent Distribution!!Estimate","Tehama County, California!!Median income (dollars)!!Estimate","Tulare County, California!!Number!!Estimate","Tulare County, California!!Percent Distribution!!Estimate","Tulare County, California!!Median income (dollars)!!Estimate","Ventura County, California!!Number!!Estimate","Ventura County, California!!Percent Distribution!!Estimate","Ventura County, California!!Median income (dollars)!!Estimate","Yolo County, California!!Number!!Estimate","Yolo County, California!!Percent Distribution!!Estimate","Yolo County, California!!Median income (dollars)!!Estimate","Yuba County, California!!Number!!Estimate","Yuba County, California!!Percent Distribution!!Estimate","Yuba County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","589,180","589,180","109,729","81,353","81,353","64,738","411,560","411,560","111,080","74,909","74,909","87,491","322,646","322,646","63,656","55,184","55,184","54,752","47,849","47,849","51,809","282,963","282,963","58,217","43,143","43,143","62,155","27,472","27,472","61,221","3,375,587","3,375,587","77,456","44,048","44,048","63,454","103,378","103,378","118,209","34,273","34,273","59,444","84,967","84,967","53,992","133,224","133,224","82,163","49,979","49,979","97,213","42,679","42,679","79,519","1,077,193","1,077,193","100,559","155,945","155,945","103,659","765,673","765,673","79,024","571,949","571,949","80,063","20,307","20,307","101,923","675,929","675,929","74,846","1,162,896","1,162,896","91,003","350,796","350,796","121,826","241,760","241,760","80,681","107,571","107,571","80,615","264,135","264,135","131,796","150,550","150,550","84,846","650,593","650,593","141,562","97,353","97,353","93,933","71,506","71,506","61,125","157,617","157,617","87,770","190,586","190,586","94,295","174,209","174,209","73,982","33,655","33,655","64,251","23,950","23,950","48,810","143,541","143,541","58,209","279,168","279,168","96,454","76,844","76,844","78,146","27,942","27,942","63,303"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","218,415","37.1%","123,275","63,319","77.8%","68,075","208,843","50.7%","123,419","62,676","83.7%","88,200","135,750","42.1%","74,733","41,989","76.1%","58,517","11,258","23.5%","63,731","147,157","52.0%","63,637","19,792","45.9%","74,863","20,647","75.2%","62,443","1,247,262","36.9%","92,348","21,486","48.8%","74,723","82,207","79.5%","130,082","25,548","74.5%","67,595","32,694","38.5%","54,447","60,180","45.2%","94,055","34,475","69.0%","97,753","36,897","86.5%","77,029","561,506","52.1%","108,332","118,948","76.3%","104,955","354,463","46.3%","81,898","305,091","53.3%","84,167","9,879","48.6%","124,617","271,673","40.2%","78,938","664,070","57.1%","100,498","163,578","46.6%","162,055","98,733","40.8%","88,202","83,967","78.1%","81,063","122,487","46.4%","144,442","88,814","59.0%","94,119","245,629","37.8%","143,861","66,140","67.9%","106,475","60,300","84.3%","61,380","74,548","47.3%","94,952","138,791","72.8%","100,128","88,566","50.8%","80,974","18,062","53.7%","68,503","18,710","78.1%","43,709","65,599","45.7%","63,141","174,789","62.6%","101,843","44,097","57.4%","83,446","17,185","61.5%","65,439"
"            Black or African American","68,172","11.6%","59,817","N","N","57,410","37,579","9.1%","72,225","N","N","N","16,195","5.0%","47,373","N","N","21,416","N","N","61,490","16,054","5.7%","40,038","N","N","57,895","N","N","65,238","307,097","9.1%","51,841","N","N","11,579","N","N","N","N","N","-","N","N","N","N","N","72,827","N","N","N","N","N","-","19,271","1.8%","88,536","N","N","115,366","50,994","6.7%","72,465","56,768","9.9%","57,852","N","N","-","57,392","8.5%","60,999","58,058","5.0%","58,098","17,156","4.9%","46,163","17,799","7.4%","64,800","N","N","73,160","5,424","2.1%","86,828","N","N","85,300","16,722","2.6%","85,345","N","N","167,888","N","N","N","21,145","13.4%","66,064","N","N","110,279","N","N","39,799","N","N","65,475","N","N","36,636","N","N","55,106","N","N","61,163","N","N","38,850","N","N","72,981"
"            American Indian and Alaska Native","5,358","0.9%","56,989","N","N","49,244","N","N","98,709","N","N","79,441","3,733","1.2%","63,735","N","N","34,739","N","N","78,605","4,127","1.5%","66,409","N","N","N","N","N","N","47,661","1.4%","73,385","N","N","137,746","N","N","230,755","N","N","N","N","N","51,083","N","N","80,985","N","N","N","N","N","-","8,171","0.8%","81,025","N","N","115,893","8,186","1.1%","78,514","5,246","0.9%","76,909","N","N","N","11,279","1.7%","73,014","12,194","1.0%","64,808","N","N","53,848","N","N","85,393","N","N","N","N","N","96,080","N","N","N","5,041","0.8%","79,304","N","N","120,276","N","N","N","N","N","67,533","N","N","62,112","N","N","81,366","N","N","44,566","N","N","61,573","N","N","62,815","4,679","1.7%","63,854","N","N","58,765","N","N","68,670"
"            Asian","182,328","30.9%","146,259","2,851","3.5%","73,054","70,139","17.0%","133,284","N","N","119,278","30,211","9.4%","74,149","N","N","53,870","N","N","50,414","13,689","4.8%","79,347","N","N","83,475","N","N","-","518,087","15.3%","90,448","N","N","113,879","N","N","122,444","N","N","N","5,440","6.4%","77,652","9,119","6.8%","85,364","N","N","137,288","N","N","145,248","228,557","21.2%","103,291","11,758","7.5%","125,449","48,918","6.4%","93,213","83,451","14.6%","90,217","N","N","208,424","56,981","8.4%","94,059","130,324","11.2%","107,183","112,803","32.2%","104,573","38,125","15.8%","89,561","N","N","76,002","79,966","30.3%","154,343","7,635","5.1%","85,954","250,809","38.6%","181,964","N","N","101,056","N","N","61,128","22,867","14.5%","105,871","7,729","4.1%","94,928","8,390","4.8%","94,413","N","N","69,145","N","N","N","N","N","65,227","20,500","7.3%","123,690","11,058","14.4%","76,020","N","N","45,927"
"            Native Hawaiian and Other Pacific Islander","N","N","103,040","N","N","-","N","N","174,410","N","N","-","N","N","-","N","N","-","N","N","-","N","N","N","N","N","-","N","N","-","7,369","0.2%","79,729","N","N","-","N","N","-","N","N","-","N","N","-","N","N","N","N","N","-","N","N","-","N","N","68,226","N","N","-","N","N","N","4,763","0.8%","86,204","N","N","-","N","N","80,297","N","N","110,082","N","N","N","N","N","N","N","N","-","N","N","N","N","N","N","N","N","73,102","N","N","-","N","N","-","N","N","141,096","N","N","68,038","N","N","97,656","N","N","81,723","N","N","-","N","N","-","N","N","N","N","N","-","N","N","-"
"            Some other race","58,590","9.9%","71,725","N","N","58,311","42,154","10.2%","79,466","N","N","78,095","58,683","18.2%","53,258","N","N","50,904","23,097","48.3%","44,188","40,901","14.5%","51,066","10,517","24.4%","54,569","N","N","47,595","682,789","20.2%","62,448","11,473","26.0%","41,773","N","N","64,871","N","N","N","32,625","38.4%","52,614","44,355","33.3%","73,558","N","N","87,493","N","N","N","118,524","11.0%","75,885","7,606","4.9%","63,801","171,669","22.4%","70,533","52,446","9.2%","66,246","N","N","76,920","157,109","23.2%","71,174","98,340","8.5%","71,116","20,627","5.9%","65,636","37,842","15.7%","72,728","N","N","83,602","23,272","8.8%","91,789","18,899","12.6%","72,447","51,384","7.9%","87,503","13,085","13.4%","67,049","N","N","N","17,672","11.2%","67,962","15,838","8.3%","70,914","26,396","15.2%","67,547","N","N","49,452","N","N","N","34,290","23.9%","49,101","22,270","8.0%","81,294","8,030","10.4%","63,709","N","N","51,477"
"        Two or more races","52,870","9.0%","108,138","8,799","10.8%","45,791","46,832","11.4%","103,290","5,868","7.8%","86,458","77,771","24.1%","55,200","6,043","11.0%","49,085","10,422","21.8%","65,880","60,549","21.4%","52,288","8,127","18.8%","59,883","N","N","62,630","565,322","16.7%","74,207","7,873","17.9%","55,830","N","N","106,612","N","N","52,537","9,266","10.9%","55,412","15,623","11.7%","88,171","6,400","12.8%","95,553","N","N","96,968","137,490","12.8%","92,563","14,562","9.3%","94,380","128,046","16.7%","79,687","64,184","11.2%","81,034","5,776","28.4%","81,205","118,463","17.5%","71,284","196,406","16.9%","78,113","33,763","9.6%","101,255","44,739","18.5%","79,119","13,673","12.7%","81,969","28,482","10.8%","123,627","30,091","20.0%","82,338","78,889","12.1%","105,803","10,924","11.2%","94,700","6,450","9.0%","65,177","19,214","12.2%","84,502","22,626","11.9%","87,564","42,205","24.2%","65,491","N","N","57,541","N","N","69,544","34,625","24.1%","59,756","52,430","18.8%","81,560","11,136","14.5%","78,523","N","N","70,246"
