"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","589,180","","218,415","68,172","5,358","182,328","N","58,590","52,870","99,043","206,795","","11,237","218,413","222,124","137,406","","383,755","166,522","217,233","289,778","128,579","65,185","26,381","28,792","11,562","","157,221","88,783","85,622","32,310","11,645","8,174","","42,178","119,353","171,451","50,773","","205,425","106,472","82,946","23,526","98,953","69,793","29,160"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","589,180","","37.1%","11.6%","0.9%","30.9%","N","9.9%","9.0%","16.8%","35.1%","","1.9%","37.1%","37.7%","23.3%","","383,755","43.4%","56.6%","75.5%","33.5%","17.0%","6.9%","7.5%","3.0%","","41.0%","23.1%","22.3%","8.4%","3.0%","2.1%","","11.0%","31.1%","44.7%","13.2%","","205,425","51.8%","40.4%","11.5%","48.2%","34.0%","14.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","109,729","","123,275","59,817","56,989","146,259","103,040","71,725","108,138","82,011","126,060","","45,439","135,967","119,470","70,844","","136,940","153,994","125,199","164,818","188,872","72,314","56,095","83,440","74,022","","111,022","146,370","175,415","144,401","158,311","124,921","","56,539","92,157","183,959","182,707","","65,916","61,164","48,279","122,653","73,572","55,839","141,541"
"Butte County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","81,353","","63,319","N","N","2,851","N","N","8,799","11,389","61,135","","6,415","25,748","25,946","23,244","","49,011","19,160","29,851","33,495","11,434","10,157","5,432","5,359","2,294","","25,583","9,499","8,825","3,641","811","652","","10,751","16,248","19,548","2,464","","32,342","15,997","11,162","4,835","16,345","10,644","5,701"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","81,353","","77.8%","N","N","3.5%","N","N","10.8%","14.0%","75.1%","","7.9%","31.6%","31.9%","28.6%","","49,011","39.1%","60.9%","68.3%","23.3%","20.7%","11.1%","10.9%","4.7%","","52.2%","19.4%","18.0%","7.4%","1.7%","1.3%","","21.9%","33.2%","39.9%","5.0%","","32,342","49.5%","34.5%","14.9%","50.5%","32.9%","17.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","64,738","","68,075","57,410","49,244","73,054","-","58,311","45,791","47,449","69,995","","22,870","70,055","74,137","61,308","","81,683","75,938","84,042","100,187","97,137","39,267","37,569","50,151","51,947","","80,050","76,653","92,507","88,324","128,074","89,188","","51,985","66,309","98,517","177,899","","38,577","37,796","33,382","48,958","39,260","36,025","51,701"
"Contra Costa County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","411,560","","208,843","37,579","N","70,139","N","42,154","46,832","85,995","197,011","","7,516","127,116","164,670","112,258","","298,386","130,227","168,159","226,289","97,157","52,000","24,594","20,097","8,476","","120,626","70,246","63,021","27,051","9,527","7,915","","38,566","92,346","125,836","41,638","","113,174","64,862","51,953","12,909","48,312","35,771","12,541"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","411,560","","50.7%","9.1%","N","17.0%","N","10.2%","11.4%","20.9%","47.9%","","1.8%","30.9%","40.0%","27.3%","","298,386","43.6%","56.4%","75.8%","32.6%","17.4%","8.2%","6.7%","2.8%","","40.4%","23.5%","21.1%","9.1%","3.2%","2.7%","","12.9%","30.9%","42.2%","14.0%","","113,174","57.3%","45.9%","11.4%","42.7%","31.6%","11.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
