"Label (Grouping)","HOUSEHOLD INCOME!!All households"
"California",""
"    Number",""
"        Estimate","13,429,063"
"    Percent Distribution",""
"        Estimate","13,429,063"
"    Mean income (dollars)",""
"        Estimate","120,953"
"Alameda County, California",""
"    Number",""
"        Estimate","589,180"
"    Percent Distribution",""
"        Estimate","589,180"
"    Mean income (dollars)",""
"        Estimate","149,973"
"Butte County, California",""
"    Number",""
"        Estimate","81,353"
"    Percent Distribution",""
"        Estimate","81,353"
"    Mean income (dollars)",""
"        Estimate","88,739"
"Contra Costa County, California",""
"    Number",""
"        Estimate","411,560"
"    Percent Distribution",""
"        Estimate","411,560"
"    Mean income (dollars)",""
"        Estimate","153,125"
"El Dorado County, California",""
"    Number",""
"        Estimate","74,909"
"    Percent Distribution",""
"        Estimate","74,909"
"    Mean income (dollars)",""
"        Estimate","131,038"
"Fresno County, California",""
"    Number",""
"        Estimate","322,646"
"    Percent Distribution",""
"        Estimate","322,646"
"    Mean income (dollars)",""
"        Estimate","87,234"
"Humboldt County, California",""
"    Number",""
"        Estimate","55,184"
"    Percent Distribution",""
"        Estimate","55,184"
"    Mean income (dollars)",""
"        Estimate","75,418"
"Imperial County, California",""
"    Number",""
"        Estimate","47,849"
"    Percent Distribution",""
"        Estimate","47,849"
"    Mean income (dollars)",""
"        Estimate","70,008"
"Kern County, California",""
"    Number",""
"        Estimate","282,963"
"    Percent Distribution",""
"        Estimate","282,963"
"    Mean income (dollars)",""
"        Estimate","80,519"
"Kings County, California",""
"    Number",""
"        Estimate","43,143"
"    Percent Distribution",""
"        Estimate","43,143"
"    Mean income (dollars)",""
"        Estimate","77,717"
"Lake County, California",""
"    Number",""
"        Estimate","27,472"
"    Percent Distribution",""
"        Estimate","27,472"
"    Mean income (dollars)",""
"        Estimate","81,453"
"Los Angeles County, California",""
"    Number",""
"        Estimate","3,375,587"
"    Percent Distribution",""
"        Estimate","3,375,587"
"    Mean income (dollars)",""
"        Estimate","109,430"
"Madera County, California",""
"    Number",""
"        Estimate","44,048"
"    Percent Distribution",""
"        Estimate","44,048"
"    Mean income (dollars)",""
"        Estimate","91,143"
"Marin County, California",""
"    Number",""
"        Estimate","103,378"
"    Percent Distribution",""
"        Estimate","103,378"
"    Mean income (dollars)",""
"        Estimate","194,703"
"Mendocino County, California",""
"    Number",""
"        Estimate","34,273"
"    Percent Distribution",""
"        Estimate","34,273"
"    Mean income (dollars)",""
"        Estimate","84,531"
"Merced County, California",""
"    Number",""
"        Estimate","84,967"
"    Percent Distribution",""
"        Estimate","84,967"
"    Mean income (dollars)",""
"        Estimate","73,466"
"Monterey County, California",""
"    Number",""
"        Estimate","133,224"
"    Percent Distribution",""
"        Estimate","133,224"
"    Mean income (dollars)",""
"        Estimate","113,244"
"Napa County, California",""
"    Number",""
"        Estimate","49,979"
"    Percent Distribution",""
"        Estimate","49,979"
"    Mean income (dollars)",""
"        Estimate","135,239"
"Nevada County, California",""
"    Number",""
"        Estimate","42,679"
"    Percent Distribution",""
"        Estimate","42,679"
"    Mean income (dollars)",""
"        Estimate","110,454"
"Orange County, California",""
"    Number",""
"        Estimate","1,077,193"
"    Percent Distribution",""
"        Estimate","1,077,193"
"    Mean income (dollars)",""
"        Estimate","135,947"
"Placer County, California",""
"    Number",""
"        Estimate","155,945"
"    Percent Distribution",""
"        Estimate","155,945"
"    Mean income (dollars)",""
"        Estimate","131,380"
"Riverside County, California",""
"    Number",""
"        Estimate","765,673"
"    Percent Distribution",""
"        Estimate","765,673"
"    Mean income (dollars)",""
"        Estimate","102,093"
"Sacramento County, California",""
"    Number",""
"        Estimate","571,949"
"    Percent Distribution",""
